variables=x[mm],y[mm],z[mm],dummy
  zone i=         151 j=         222 k=           1 f=point
 -1.0000000000E+02  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -9.8000000000E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -9.5987950197E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -9.3965969167E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -9.1936218344E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -8.9900892911E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -8.7862212387E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -8.5822410985E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -8.3783727837E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -8.1748397166E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -7.9718638515E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -7.7696647102E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -7.5684584404E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -7.3684569053E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -7.1698668120E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.9728888860E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.7777170996E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.5845379584E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.3935298527E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.2048624764E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -6.0186963176E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.8351822229E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.6544610357E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.4766633106E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.3019091018E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -5.1303078245E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.9619581877E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.7969481946E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.6353552080E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.4772460761E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.3226773142E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.1716953390E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -4.0243367474E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.8806286388E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.7405889716E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.6042269516E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.4715434464E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.3425314190E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.2171763793E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -3.0954568454E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.9773448128E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.8628062260E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.7518014500E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.6442857376E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.5402096892E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.4395197040E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.3421584181E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.2480651291E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.1571762053E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -2.0694254773E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.9847446120E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.9030634672E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.8243104272E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.7484127178E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.6752967025E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.6048881574E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.5371125270E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.4718951607E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.4091615295E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.3488374253E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.2908491415E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.2351236366E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.1815886816E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.1301729918E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
 -1.0808063435E+01  0.0000000000E+00  0.0000000000E+00  1.0000000000E+00
